 	Mean	X	Y
1	94	8.320	10.040
2	84	6.320	7.220
3	78	8.340	10.260
4	64	5.740	7.580
5	64	9.560	5.300
6	62	9.940	10.900
7	62	14.940	0.060
8	61	5.560	8.120
9	54	2.060	11.020
10	54	5.180	0.920
11	53	3.680	3.880
12	51	3.760	3.660
13	46	5.220	1.500
14	46	0.780	0.400
15	42	0.940	11.200
16	41	9.800	5.080
17	37	10.040	5.180
18	37	5.040	1.640
19	36	7.600	6.480
20	34	7.140	6.720
21	33	12.080	9.820
22	29	5.440	1.740
23	28	0.260	8.740
24	28	2.080	6.500
25	28	9.500	4.820
26	27	0.580	5.600
27	26	11.940	10.260
28	26	1.980	6.640
29	25	3.280	4.280
30	25	12.060	2.920
31	25	4.300	1.020
32	23	9.620	13.240
33	23	11.100	3.240
34	23	11.660	2.360
35	22	6.400	3.960
36	22	3.500	3.640
37	20	6.040	3.280
38	18	7.880	14.660
39	18	7.040	3.960
40	17	8.420	10.680
41	17	8.720	10.640
42	16	12.720	9.660
43	16	11.720	8.460
44	16	2.140	4.320
45	15	2.000	14.460
46	15	2.520	13.220
47	13	13.580	14.440
48	13	0.300	10.620
49	13	7.540	6.940
50	13	10.420	6.380
51	13	7.940	0.120
52	12	12.820	8.900
53	12	6.260	7.700
54	12	0.700	5.060
55	12	2.100	1.960
56	11	13.220	14.600
57	11	10.560	13.040
58	11	4.800	12.780
59	11	8.580	11.380
60	11	4.320	10.540
61	11	4.060	9.700
62	11	7.980	8.580
63	11	5.320	7.640
64	11	13.960	7.240
65	11	10.220	6.200
66	11	7.360	5.740
67	10	4.120	12.960
68	10	6.140	12.200
69	10	4.280	11.060
70	10	5.160	10.840
71	10	10.620	10.440
72	10	12.440	8.460
73	10	3.200	8.180
74	10	14.680	4.460
75	10	8.800	3.420
76	10	11.240	2.360
77	9	5.440	14.440
78	9	5.420	13.500
79	9	11.440	10.320
80	9	9.200	10.320
81	9	2.880	9.600
82	9	9.860	7.700
83	9	9.760	6.620
84	9	8.520	5.680
85	9	3.080	5.400
86	9	6.980	0.400
87	9	4.780	0.340
88	8	13.400	10.500
89	8	1.720	7.960
90	8	4.160	7.260
91	8	3.840	5.240
92	8	4.740	4.380
93	8	12.680	4.320
94	8	1.920	2.280
95	7	4.880	14.840
96	7	1.780	13.420
97	7	11.060	8.280
