 	Mean	X	Y
1	83	28.842	17.221
2	64	16.443	6.649
3	55	9.764	18.539
4	53	17.251	0.809
5	48	7.697	1.078
6	46	13.987	0.210
7	45	10.213	18.090
8	45	4.762	7.817
9	45	18.839	4.942
10	43	9.973	3.025
11	42	13.747	2.067
12	42	17.221	1.797
13	41	18.839	4.403
14	40	30.639	3.414
15	38	16.293	14.556
16	38	11.980	11.740
17	36	8.895	8.805
18	35	2.396	8.536
19	35	10.602	8.386
20	35	15.394	3.235
21	33	5.870	24.349
22	33	22.283	12.070
23	33	21.744	11.860
24	33	21.923	11.231
25	31	5.181	8.146
26	30	8.416	9.913
27	29	10.602	8.835
28	29	4.403	7.188
29	29	19.557	3.893
30	28	19.677	17.910
31	28	13.448	11.770
32	28	9.165	6.170
33	27	12.070	12.699
34	27	17.820	5.900
35	26	22.852	3.085
36	25	7.128	6.319
37	24	24.259	14.376
38	24	21.205	11.022
39	24	11.710	6.649
40	23	17.221	18.210
41	23	6.230	8.356
42	22	12.938	12.040
43	22	11.321	10.692
44	22	6.200	5.840
45	22	9.824	5.810
46	22	7.398	5.421
47	21	2.216	21.804
48	21	13.837	9.973
49	21	13.837	8.386
50	21	15.873	1.587
51	20	2.785	15.844
52	20	7.008	7.098
53	18	13.388	6.559
54	17	24.020	10.453
55	16	18.569	5.241
56	16	26.775	0.899
57	15	14.136	19.917
58	15	8.955	9.614
59	15	6.649	3.953
60	15	15.125	2.636
61	15	4.013	2.396
62	14	17.641	17.760
63	14	30.160	14.676
64	14	2.965	11.082
65	14	14.346	10.632
66	14	10.303	7.338
67	14	7.667	3.025
68	12	19.198	17.072
69	12	14.676	7.697
70	12	6.769	2.905
71	12	15.903	2.696
72	12	2.486	2.696
73	12	14.646	2.606
74	12	1.677	2.246
75	11	20.516	18.090
76	11	2.905	16.383
77	11	24.020	14.017
78	11	6.769	2.037
79	10	6.110	23.391
80	10	7.128	21.055
81	10	19.977	20.666
82	10	19.737	19.168
83	10	9.913	11.980
84	10	25.547	10.842
85	10	1.468	8.626
86	10	7.877	7.997
87	10	20.306	2.456
88	10	12.160	0.389
89	10	25.847	0.180
90	9	7.877	14.616
91	9	10.423	11.111
92	9	0.299	2.875
93	8	20.186	29.441
94	8	19.078	11.141
95	8	27.284	7.038
96	8	13.058	2.815
97	7	6.889	19.647
98	7	21.145	3.205
99	6	22.463	27.764
100	6	22.612	25.787
101	6	28.393	12.938
102	6	20.695	0.539
