 	X	Y	Area	LenEll	LenSke	MitoSkelPos
1	4.394	0.312	0.204	0.730	0.451	25
2	12.195	2.431	0.830	1.339	2.241	48
3	11.116	2.565	0.010	0.142	2.241	48
4	10.824	2.670	0.009	0.123	0.000	0
5	7.400	3.915	2.612	4.135	7.207	31
6	11.885	3.184	0.006	0.236	2.241	48
7	6.376	3.526	0.152	0.800	0.448	37
8	8.048	4.750	0.310	0.686	7.207	31
9	17.616	5.329	0.186	0.526	0.042	59
10	3.803	6.461	0.814	2.641	7.317	17
11	4.110	7.306	2.272	2.772	7.317	17
12	12.669	7.576	0.021	0.435	0.779	51
13	12.673	8.246	0.232	1.120	0.779	51
14	0.754	8.607	0.475	1.803	1.454	2
15	0.078	8.621	0.016	0.229	1.454	2
16	14.728	8.807	0.274	0.655	0.042	52
17	25.813	8.788	0.239	0.899	0.481	66
18	17.450	9.442	0.070	0.335	1.556	58
19	17.673	9.929	0.131	0.509	1.556	58
20	17.261	9.903	0.111	0.473	1.556	58
21	18.236	10.113	0.343	0.795	1.556	58
22	9.317	10.078	0.048	0.337	0.072	46
23	9.591	10.477	0.124	0.513	0.072	46
24	16.217	11.880	0.149	0.602	0.072	55
25	8.931	12.323	0.304	0.788	0.114	44
26	11.413	12.744	0.384	1.161	1.222	49
27	15.867	12.980	0.208	0.707	0.211	54
28	0.192	13.157	0.229	0.616	0.060	4
29	8.343	13.277	0.333	0.759	0.204	43
30	11.849	13.531	0.055	0.274	1.222	49
31	0.628	14.188	0.606	1.347	2.211	8
32	15.579	14.121	0.165	0.573	0.132	53
33	26.745	14.530	0.155	0.475	0.000	0
34	0.637	15.052	0.392	0.832	2.211	8
35	24.610	15.343	0.604	1.188	0.650	65
36	2.925	15.741	0.661	1.835	2.459	12
37	6.801	15.375	0.148	0.514	0.294	35
38	5.047	15.394	0.387	1.426	0.725	28
39	1.802	15.736	0.237	0.720	2.459	12
40	21.855	16.254	0.578	1.494	1.220	63
41	6.237	16.034	0.187	0.684	0.294	35
42	7.223	16.385	0.310	1.032	0.567	39
43	1.378	17.746	1.117	2.555	3.292	10
44	3.353	17.658	3.590	2.562	5.953	15
45	0.568	16.310	0.007	0.148	0.815	3
46	8.595	17.070	1.269	2.531	0.000	0
47	16.466	17.037	0.344	1.184	0.903	56
48	11.315	16.771	0.143	0.538	0.060	50
49	13.007	17.110	0.551	1.865	0.000	0
50	21.634	16.911	0.142	0.456	1.220	63
51	17.279	17.871	1.291	1.962	2.468	57
52	0.202	17.238	0.301	0.859	0.815	3
53	11.603	17.415	0.986	2.587	0.060	50
54	6.489	17.360	0.302	0.995	0.551	36
55	4.825	17.458	0.096	0.354	0.030	29
56	18.924	17.482	0.255	1.059	0.720	60
57	19.862	17.613	0.061	0.339	0.720	60
58	4.828	17.987	0.025	0.235	0.030	29
59	9.580	18.151	0.217	0.778	0.341	45
60	0.073	18.507	0.102	0.737	0.994	1
61	7.649	18.399	0.204	0.711	0.331	42
62	5.514	18.720	0.156	0.667	0.289	33
63	27.331	18.658	0.224	0.601	0.030	68
64	0.528	18.817	0.143	0.472	0.042	7
65	4.406	18.743	0.013	0.169	0.396	26
66	1.332	19.238	0.209	0.690	2.368	9
67	0.042	19.215	0.027	0.348	0.994	1
68	4.026	19.211	0.006	0.205	0.396	26
69	5.712	19.221	0.013	0.218	0.289	33
70	4.714	19.360	0.291	0.928	0.396	26
71	3.777	19.243	0.010	0.211	0.085	21
72	5.393	19.594	0.091	0.344	0.396	26
73	2.268	19.634	0.095	0.706	2.368	9
74	3.526	19.831	0.160	0.513	0.085	21
75	1.661	20.098	0.537	1.483	2.368	9
76	1.208	20.459	0.017	0.237	0.072	11
77	2.725	20.659	0.036	0.229	0.030	16
78	2.442	21.055	0.124	0.506	0.144	14
79	2.108	21.395	0.049	0.302	0.060	13
80	3.500	21.981	0.152	0.659	0.936	19
81	10.612	22.248	0.342	1.000	0.361	47
82	4.197	22.588	0.298	1.262	0.386	24
83	3.143	22.481	0.118	0.448	0.936	19
84	3.422	24.048	1.148	1.837	1.930	20
85	7.641	24.771	0.389	1.061	0.550	41
86	0.430	24.922	0.565	1.058	0.620	5
87	2.684	24.628	0.016	0.149	0.085	18
88	4.670	25.008	0.207	0.616	0.204	27
89	28.871	25.227	0.336	1.164	0.921	69
90	3.720	25.435	0.274	0.928	0.585	23
91	3.109	25.304	0.057	0.317	0.085	18
92	3.608	26.229	0.316	0.698	0.699	22
93	5.004	26.239	0.355	0.694	0.072	30
94	4.080	26.665	0.164	0.463	0.699	22
95	0.440	27.415	0.426	1.609	1.991	6
96	6.181	27.411	0.778	1.262	0.560	34
97	20.374	27.712	0.082	0.336	0.000	0
98	0.287	28.510	0.243	0.818	1.991	6
